근로형태별,임금근로자,정규직,비정규직,한시적,시간제,비전형
2017.08_시급제,7.6,2.5,17.9,13.9,37.5,5.4
2017.08_일급제,8.8,3.1,20.3,12.1,16.6,38.1
2017.08_주급제,0.2,0.1,0.3,0.3,0.5,0.2
2017.08_월급제,62.9,71.5,45.4,61.1,38.2,29.5
2017.08_연봉제,16.3,21.2,6.2,10.2,0.9,1.5
2017.08_실적급제,4.2,1.5,9.7,2.3,6.2,25.3
2017.08_기타,0,0,0,0,0.1,0
2018.08_전체,100,100,100,100,100,100
2018.08_시급제,8.6,2.9,20.1,18.4,40.9,8.2
2018.08_일급제,8.4,2.8,19.7,11.6,14.9,36.8
2018.08_주급제,0.2,0.1,0.4,0.2,0.5,0.5
2018.08_월급제,60.9,69.9,42.7,55.4,36.2,26
2018.08_연봉제,17.7,22.8,7.3,11.7,1.2,1.8
2018.08_실적급제,4.1,1.4,9.7,2.6,6.3,26.7
2018.08_기타,0,0,0.1,0.1,0.1,0
2019.08_전체,100,100,100,100,100,100
2019.08_시급제,9.5,2.5,21.8,19.4,44.2,8.9
2019.08_일급제,7.7,2.2,17.3,11.2,13.1,34.8
2019.08_주급제,0.3,0.1,0.5,0.5,0.6,0.3
2019.08_월급제,60.8,70,44.8,56.1,34.7,27.3
2019.08_연봉제,17.7,23.9,6.7,9.9,1.2,1.2
2019.08_실적급제,4,1.2,8.8,2.7,6,27.5
2019.08_기타,0,0,0.1,0.1,0.2,0.1
2020.08_전체,100,100,100,100,100,100
2020.08_시급제,10.5,2.7,24.2,23.1,48.1,9.4
2020.08_일급제,7.1,1.9,16.2,7.6,11.5,37.4
2020.08_주급제,0.3,0.2,0.6,0.4,1,0.4
2020.08_월급제,59.5,68.3,44,57.1,33.8,25.6
2020.08_연봉제,18.7,25.6,6.7,9.7,1.6,1.5
2020.08_실적급제,3.8,1.3,8.2,2,4,25.7
2020.08_기타,0,0.1,0,0,0,0
2021.08_전체,100,100,100,100,100,100
2021.08_시급제,9.9,2.1,22.5,21.9,45.7,8.6
2021.08_일급제,6.8,1.6,15.2,6.3,10.2,37.1
2021.08_주급제,0.4,0.2,0.7,0.5,1,0.5
2021.08_월급제,59.8,68.2,46.4,59.1,36.6,25.8
2021.08_연봉제,18.8,26.6,6.4,9.1,1,1.9
2021.08_실적급제,4.1,1.2,8.8,3.2,5.5,26.1
2021.08_기타,0.1,0,0.1,0.1,0.1,0.1
2022.08_전체,100,100,100,100,100,100
2022.08_시급제,11.3,2.5,26,25.3,50.6,9.4
2022.08_일급제,6.3,1.7,13.8,6.6,9.4,34.5
2022.08_주급제,0.3,0.2,0.6,0.5,0.8,0.6
2022.08_월급제,58.3,66.7,44.3,55.3,31.8,26.2
2022.08_연봉제,20.1,28,6.8,9.7,1.1,1.4
2022.08_실적급제,3.7,0.9,8.3,2.5,6.1,27.9
2022.08_기타,0,0,0,0,0,0
2023.08_전체,100,100,100,100,100,100
2023.08_시급제,11.2,2.6,25.8,24.2,47.3,9.3
2023.08_일급제,5.7,1.8,12.3,6.6,8.4,32.1
2023.08_주급제,0.4,0.2,0.5,0.3,0.7,0.4
2023.08_월급제,58.3,65.8,45.7,55.9,36.1,26.2
2023.08_연봉제,20.7,28.7,7.2,10,1.6,2
2023.08_실적급제,3.8,0.9,8.6,3,5.8,30
2023.08_기타,0,0,0,0,0,0
2024.08_전체,100,100,100,100,100,100
2024.08_시급제,12.1,2.4,27.8,27.8,49.5,9.9
2024.08_일급제,5.2,1.5,11.3,7.3,7.3,28.7
2024.08_주급제,0.4,0.2,0.7,0.5,0.9,0.6
2024.08_월급제,57,64.8,44.5,52.2,34.8,27.2
2024.08_연봉제,21.3,30,7.4,9.6,1.9,1.8
2024.08_실적급제,3.9,1.2,8.4,2.6,5.6,31.8
2024.08_기타,0,0,0,0,0,0
2025.08_전체,100,100,100,100,100,100
2025.08_시급제,12.2,2.1,28.5,28.1,51.7,10.2
2025.08_일급제,4.7,1.3,10.1,7,7,24
2025.08_주급제,0.3,0.2,0.6,0.5,0.7,0.8
2025.08_월급제,57.6,65,45.8,53,34.1,30.9
2025.08_연봉제,21.6,30.4,7.2,9.3,1.5,2
2025.08_실적급제,3.6,1,7.8,2.1,5,32.2
2025.08_기타,0,0,0,0,0,0
