교육정도별,계_계,계_초졸이하,계_중졸,계_고졸,계_대졸이상,남자_계,남자_초졸이하,남자_중졸,남자_고졸,남자_대졸이상,여자_계,여자_초졸이하,여자_중졸,여자_고졸,여자_대졸이상
2024.08_비정규직,8459,804,802,3636,3217,3615,216,344,1681,1374,4844,587,458,1955,1843
2024.08_한시적,5628,647,541,2199,2241,2470,153,223,1058,1037,3158,494,319,1141,1204
2024.08_시간제,4256,644,465,1795,1352,1240,133,135,603,368,3016,510,330,1192,984
2024.08_비전형,1903,159,231,962,552,1065,72,127,555,311,838,87,104,407,241
2025.08_임금근로자,22413,939,1127,7597,12751,11953,250,478,4110,7114,10460,689,648,3487,5637
2025.08_정규직,13845,126,308,3968,9444,8302,48,146,2440,5669,5543,78,162,1528,3775
2025.08_비정규직,8568,813,819,3629,3307,3650,202,332,1671,1445,4918,611,487,1959,1862
2025.08_한시적,5848,676,595,2230,2348,2570,156,237,1082,1095,3278,519,358,1147,1253
2025.08_시간제,4229,652,486,1804,1287,1187,119,142,578,348,3042,534,344,1226,939
2025.08_비전형,1834,132,227,934,541,1006,57,122,527,301,828,75,106,407,240
