연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2024.05_-1개월미만,281,154,127,338,186,153
2024.05_-1~3개월미만,588,331,256,793,440,353
2024.05_-3~6개월미만,745,348,398,1093,551,542
2024.05_-6개월이상,1950,855,1096,3005,1387,1618
2024.05_직장체험경험없음,4607,2401,2206,4242,2267,1975
2024.05_무학,2,0,2,2,0,2
2025.05_청년층인구,7974,3994,3980,9337,4778,4559
2025.05_직장체험경험있음,3448,1575,1873,5156,2493,2663
2025.05_-1개월미만,278,136,142,345,183,162
2025.05_-1~3개월미만,545,307,238,793,449,344
2025.05_-3~6개월미만,690,318,372,1037,524,513
2025.05_-6개월이상,1935,815,1120,2981,1337,1645
2025.05_직장체험경험없음,4523,2419,2104,4178,2285,1893
2025.05_무학,3,0,3,3,0,3
