성별_종사자규모별,계_계,계_1 - 4인,계_5~299인,계_300인이상,남자_계,남자_1 - 4인,남자_5~299인,남자_300인이상,여자_계,여자_1 - 4인,여자_5~299인,여자_300인이상
2007.08_임금근로자,16006,3187,10965,1854,9326,1413,6564,1349,6680,1774,4401,505
2007.08_정규직,10274,1691,7092,1491,6398,781,4489,1128,3876,910,2603,363
2007.08_비정규직,5732,1496,3873,363,2928,632,2075,221,2804,864,1798,143
2007.08_한시적,3580,684,2565,331,1943,289,1446,208,1637,395,1119,123
2007.08_기간제,2556,429,1872,256,1425,211,1064,150,1132,218,808,106
2007.08_시간제,1199,571,598,31,359,151,196,12,840,420,401,18
2007.08_비전형,2204,674,1488,42,1140,329,795,16,1065,345,693,27
2008.03_임금근로자,16138,3171,11091,1877,9335,1375,6605,1354,6804,1795,4486,523
2008.03_정규직,10472,1665,7276,1532,6475,770,4554,1152,3996,895,2722,380
2008.03_비정규직,5667,1506,3816,345,2859,605,2052,202,2807,901,1764,142
2008.03_한시적,3272,669,2295,308,1720,265,1271,184,1553,404,1025,124
2008.03_기간제,2309,338,1717,254,1288,158,983,147,1021,180,734,107
2008.03_시간제,1300,598,667,35,391,157,218,17,909,441,449,18
2008.03_비전형,2338,664,1632,42,1271,312,939,20,1067,352,693,22
2008.08_임금근로자,16258,3164,11221,1874,9464,1380,6722,1362,6793,1784,4499,511
2008.08_정규직,10770,1764,7459,1546,6743,802,4766,1174,4027,962,2693,372
2008.08_비정규직,5488,1399,3761,327,2722,578,1956,188,2766,822,1806,139
2008.08_한시적,3322,657,2358,307,1719,270,1267,181,1604,387,1091,126
2008.08_기간제,2388,353,1790,246,1286,171,979,137,1102,182,811,109
2008.08_시간제,1231,547,649,35,373,158,199,15,858,389,449,20
2008.08_비전형,2147,593,1529,26,1124,281,835,8,1023,312,694,18
2009.03_임금근로자,16210,3069,11183,1958,9385,1291,6655,1439,6825,1778,4528,519
2009.03_정규직,10803,1684,7491,1628,6746,742,4745,1259,4057,943,2746,369
2009.03_비정규직,5407,1385,3693,330,2639,549,1910,180,2768,836,1783,150
2009.03_한시적,3202,620,2282,300,1642,243,1232,167,1560,377,1049,133
2009.03_기간제,2576,346,1946,284,1381,153,1071,157,1195,193,875,127
2009.03_시간제,1320,600,680,40,374,162,201,10,946,438,479,30
2009.03_비전형,2177,612,1529,35,1111,285,810,16,1066,328,719,19
2009.08_임금근로자,16609,3073,11512,2024,9588,1334,6776,1478,7020,1739,4736,545
2009.08_정규직,10826,1708,7441,1678,6898,813,4791,1294,3928,894,2650,384
2009.08_비정규직,5783,1365,4072,346,2690,520,1986,184,3092,845,2086,161
2009.08_한시적,3528,574,2641,313,1690,220,1305,166,1838,355,1336,147
2009.08_기간제,2828,335,2212,282,1368,136,1090,142,1460,199,1122,139
2009.08_시간제,1428,615,774,39,367,150,202,16,1061,466,573,23
2009.08_비전형,2288,633,1616,39,1157,286,848,23,1131,347,768,16
2010.03_임금근로자,16744,3197,11604,1942,9620,1392,6832,1396,7124,1806,4772,546
2010.03_정규직,11220,1795,7786,1639,7057,846,4965,1245,4163,949,2820,394
2010.03_비정규직,5524,1402,3818,303,2563,545,1866,151,2961,857,1952,152
2010.03_한시적,3220,546,2399,275,1552,212,1203,138,1668,335,1196,137
2010.03_기간제,2399,298,1882,220,1164,126,936,102,1235,172,946,118
2010.03_시간제,1529,662,814,52,397,163,215,19,1132,499,600,33
2010.03_비전형,2186,637,1511,38,1145,312,812,21,1041,325,699,17
2010.08_임금근로자,17189,3216,12030,1944,9870,1423,7070,1377,7320,1793,4960,567
2010.08_정규직,11475,1755,8076,1644,7210,844,5131,1235,4264,910,2945,409
2010.08_비정규직,5715,1461,3954,300,2659,578,1939,142,3055,883,2015,157
2010.08_한시적,3298,551,2472,275,1582,214,1238,131,1716,337,1234,144
2010.08_기간제,2500,326,1961,214,1211,137,978,95,1290,188,983,118
2010.08_시간제,1623,687,882,54,425,169,235,21,1198,518,647,33
2010.08_비전형,2300,692,1572,37,1219,344,858,17,1081,347,714,20
2011.03_임금근로자,17252,3219,12035,1998,9946,1454,7073,1419,7305,1764,4962,580
2011.03_정규직,11427,1767,8021,1639,7173,881,5063,1229,4254,886,2958,410
2011.03_비정규직,5825,1452,4014,359,2773,573,2010,189,3052,878,2004,170
2011.03_한시적,3400,537,2538,325,1684,214,1294,176,1717,323,1244,150
2011.03_기간제,2482,332,1910,240,1219,140,960,119,1263,192,950,121
2011.03_시간제,1540,668,810,62,455,181,251,22,1085,486,559,40
2011.03_비전형,2334,716,1578,40,1192,332,842,19,1141,384,736,22
2011.08_임금근로자,17715,3391,12338,1985,10168,1506,7258,1403,7547,1885,5080,582
2011.08_정규직,11662,1831,8186,1645,7349,882,5242,1225,4313,949,2944,420
