성별_연령계층별,계_계,계_15 - 19세,계_20 - 29세,계_30 - 39세,계_40 - 49세,계_50 - 59세,계_60세이상,남자_계,남자_15 - 19세,남자_20 - 29세,남자_30 - 39세,남자_40 - 49세,남자_50 - 59세,남자_60세이상,여자_계,여자_15 - 19세,여자_20 - 29세,여자_30 - 39세,여자_40 - 49세,여자_50 - 59세,여자_60세이상
2016.03_시간제,2226,115,415,290,393,396,617,600,47,181,48,52,80,191,1626,67,234,242,341,316,426
2016.03_비전형,2159,12,137,280,499,644,587,1104,9,74,151,247,313,310,1056,4,63,129,252,331,277
2016.08_임금근로자,19743,262,3455,4742,5039,4099,2147,11086,113,1651,2929,2908,2349,1136,8658,149,1804,1814,2131,1750,1010
2016.08_정규직,13262,65,2343,3742,3725,2698,689,8166,26,1126,2460,2373,1751,431,5096,39,1218,1282,1352,947,259
2016.08_비정규직,6481,197,1112,1000,1314,1401,1457,2919,87,526,468,536,598,706,3562,110,586,532,778,803,752
2016.08_한시적,3671,67,718,611,682,685,908,1713,30,334,310,275,294,469,1958,37,384,301,407,391,439
2016.08_기간제,2939,53,576,465,517,529,800,1372,21,267,233,196,238,417,1567,32,309,232,321,291,383
2016.08_시간제,2488,165,466,306,401,438,711,707,70,205,52,62,90,228,1780,94,261,254,340,348,483
2016.08_비전형,2245,16,136,286,505,672,629,1185,9,81,158,267,330,340,1060,7,54,129,239,342,289
2017.08_임금근로자,20006,244,3498,4753,5044,4205,2264,11188,108,1648,2930,2918,2391,1193,8818,136,1850,1823,2126,1813,1071
2017.08_정규직,13428,64,2341,3772,3731,2779,741,8242,29,1110,2477,2377,1789,461,5186,35,1231,1295,1354,990,280
2017.08_비정규직,6578,179,1157,981,1313,1425,1523,2946,79,538,453,542,602,732,3632,101,619,528,771,823,790
2017.08_한시적,3725,67,660,607,723,713,955,1729,31,313,305,307,299,474,1996,36,347,302,416,414,481
2017.08_기간제,2930,49,513,455,541,532,840,1351,24,246,221,220,223,417,1578,25,266,234,321,309,423
2017.08_시간제,2663,151,550,309,431,441,781,761,62,224,63,66,89,258,1902,89,326,246,365,352,523
