비전형근로자별,비정규직,비전형,파견,용역,특수형태,일일,가정내,비정규직(남자),비전형(남자),파견(남자),용역(남자),특수형태(남자),일일(남자),가정내(남자),비정규직(여자),비전형(여자),파견(여자),용역(여자),특수형태(여자),일일(여자),가정내(여자)
2016.03_증감 (전년동월),137,12,25,38,1,75,3,4,47,1,7,17,34,3,141,35,26,45,16,41,6
2016.03_증감률 (전년동월),2.3,0.6,13.1,5.8,0.2,8.9,5.3,0.1,4.1,1.4,1.9,10.7,5.9,136.4,4.3,3.4,26.3,15.4,4.7,15.7,12.3
2016.08_근로자수 (천명),6481,2245,201,702,502,874,42,2919,1185,102,357,154,614,2,3562,1060,100,345,348,260,40
2016.08_구성비 (비정규직대비),100,34.6,3.1,10.8,7.7,13.5,0.6,100,40.6,3.5,12.2,5.3,21,0.1,100,29.8,2.8,9.7,9.8,7.3,1.1
2016.08_증감 (전년동월),172,16,10,42,0,12,13,16,35,14,5,13,2,6,156,20,24,37,13,11,7
2016.08_증감률 (전년동월),2.7,0.7,4.6,6.3,0,1.4,24.2,0.6,3.1,16.4,1.4,9.3,0.2,75,4.6,1.8,19.4,11.8,3.6,4,15.6
2017.08_근로자수 (천명),6578,2112,188,694,497,801,30,2946,1157,89,381,158,598,3,3632,954,99,313,339,203,27
2017.08_구성비 (비정규직대비),100,32.1,2.9,10.5,7.6,12.2,0.4,100,39.3,3,12.9,5.4,20.3,0.1,100,26.3,2.7,8.6,9.3,5.6,0.7
2017.08_증감 (전년동월),97,133,13,8,5,73,12,27,28,12,24,4,16,1,70,105,1,32,8,58,13
2017.08_증감률 (전년동월),1.5,5.9,6.6,1.2,0.9,8.4,29.4,0.9,2.3,12.1,6.8,2.4,2.6,25,2,9.9,0.9,9.4,2.4,22.1,32.3
2018.08_근로자수 (천명),6614,2071,189,596,506,801,53,2936,1148,97,337,157,603,4,3678,923,92,258,349,198,49
2018.08_구성비 (비정규직대비),100,31.3,2.9,9,7.6,12.1,0.8,100,39.1,3.3,11.5,5.3,20.5,0.1,100,25.1,2.5,7,9.5,5.4,1.3
2018.08_증감 (전년동월),36,41,1,98,9,0,24,10,9,8,44,1,5,2,47,32,7,55,10,5,22
2018.08_증감률 (전년동월),0.6,1.9,0.7,14.1,1.7,0,79.4,0.3,0.8,9,11.4,0.7,0.8,68,1.3,3.3,7,17.4,2.8,2.3,81.1
2019.08_근로자수 (천명),7481,2045,182,615,528,748,46,3356,1125,89,333,182,561,8,4125,920,93,283,347,187,38
2019.08_구성비 (비정규직대비),100,27.3,2.4,8.2,7.1,10,0.6,100,33.5,2.7,9.9,5.4,16.7,0.2,100,22.3,2.3,6.8,8.4,4.5,0.9
2019.08_증감 (전년동월),867,26,7,20,23,53,7,420,23,8,5,25,42,4,447,3,1,24,2,11,11
2019.08_증감률 (전년동월),13.1,1.2,3.8,3.3,4.5,6.6,13.9,14.3,2,8.2,1.4,15.8,7,88.1,12.1,0.3,1.2,9.5,0.6,5.4,22.7
2020.08_근로자수 (천명),7426,2073,164,552,498,896,49,3335,1212,95,305,185,682,8,4091,861,69,247,313,214,41
2020.08_구성비 (비정규직대비),100,27.9,2.2,7.4,6.7,12.1,0.7,100,36.3,2.9,9.1,5.5,20.5,0.2,100,21.1,1.7,6,7.7,5.2,1
2020.08_증감 (전년동월),55,28,18,63,30,148,3,21,87,6,28,3,122,0,35,59,24,35,34,27,3
2020.08_증감률 (전년동월),0.7,1.4,9.8,10.3,5.8,19.8,7.4,0.6,7.7,6.6,8.4,1.7,21.7,3.8,0.8,6.4,25.6,12.5,9.7,14.2,8.2
2021.08_근로자수 (천명),8066,2278,211,585,560,955,79,3575,1342,109,351,207,742,17,4491,936,102,233,354,213,62
2021.08_구성비 (비정규직대비),100,28.2,2.6,7.2,6.9,11.8,1,100,37.5,3,9.8,5.8,20.8,0.5,100,20.8,2.3,5.2,7.9,4.7,1.4
2021.08_증감 (전년동월),640,205,46,33,62,59,30,241,130,13,46,22,60,9,400,74,33,14,41,1,21
2021.08_증감률 (전년동월),8.6,9.9,28,5.9,12.5,6.5,60.5,7.2,10.8,14.1,15.2,11.9,8.7,104.9,9.8,8.6,47.3,5.6,13,0.5,51.6
2022.08_근로자수 (천명),8156,2131,189,567,561,814,95,3653,1209,88,325,206,640,12,4503,922,101,242,355,174,83
2022.08_구성비 (비정규직대비),100,26.1,2.3,6.9,6.9,10,1.2,100,33.1,2.4,8.9,5.6,17.5,0.3,100,20.5,2.2,5.4,7.9,3.9,1.8
2022.08_증감 (전년동월),90,147,22,18,1,141,16,78,134,21,26,1,102,5,13,14,1,8,2,39,21
2022.08_증감률 (전년동월),1.1,6.4,10.4,3.1,0.2,14.7,20.1,2.2,9.9,18.9,7.5,0.3,13.7,29.2,0.3,1.4,1.4,3.6,0.5,18.1,33.4
2023.08_근로자수 (천명),8122,1957,221,534,553,665,72,3557,1090,107,306,211,507,21,4565,866,114,229,343,158,51
2023.08_구성비 (비정규직대비),100,24.1,2.7,6.6,6.8,8.2,0.9,100,30.7,3,8.6,5.9,14.3,0.6,100,19,2.5,5,7.5,3.5,1.1
2023.08_증감 (전년동월),34,174,32,32,8,149,22,96,118,19,19,5,133,10,62,56,14,13,13,16,32
2023.08_증감률 (전년동월),0.4,8.2,17.2,5.7,1.4,18.3,23.7,2.6,9.8,21.6,5.9,2.3,20.8,79.8,1.4,6,13.4,5.4,3.6,9.1,38.6
2024.08_근로자수 (천명),8459,1903,237,541,576,570,63,3615,1065,124,299,245,445,14,4844,838,113,242,331,125,49
2024.08_구성비 (비정규직대비),100,22.5,2.8,6.4,6.8,6.7,0.7,100,29.5,3.4,8.3,6.8,12.3,0.4,100,17.3,2.3,5,6.8,2.6,1
2024.08_증감 (전년동월),337,54,16,7,22,96,9,58,25,17,7,34,62,7,279,29,1,14,12,34,2
2024.08_증감률 (전년동월),4.1,2.7,7.1,1.3,4,14.4,12.9,1.6,2.3,15.4,2.2,16.3,12.2,32.7,6.1,3.3,0.7,5.9,3.5,21.3,4.5
2025.08_근로자수 (천명),8568,1834,213,558,566,475,75,3650,1006,107,304,247,368,19,4918,828,105,254,319,108,57
2025.08_구성비 (비정규직대비),100,21.4,2.5,6.5,6.6,5.5,0.9,100,27.6,2.9,8.3,6.8,10.1,0.5,100,16.8,2.1,5.2,6.5,2.2,1.2
2025.08_증감 (전년동월),110,70,24,16,9,94,12,35,59,16,5,3,78,4,74,10,8,11,12,17,8
2025.08_증감률 (전년동월),1.3,3.7,10.1,3,1.6,16.6,19.7,1,5.6,13.1,1.7,1,17.4,28.5,1.5,1.2,6.9,4.7,3.6,13.5,17.1
