성별,계,남자,여자
2021.08_정규직 비중(%),61.6,69,52.6
2021.08_비정규직 규모(천명),8066,3575,4491
2021.08_비정규직 비중(%),38.4,31,47.4
2021.08_한시적 규모(천명),5171,2234,2938
2021.08_시간제 규모(천명),3512,1011,2502
2021.08_비전형 규모(천명),2278,1342,936
2022.08_임금근로자 규모(천명),21724,11936,9788
2022.08_임금근로자 비중(%),100,100,100
2022.08_정규직 규모(천명),13568,8283,5285
2022.08_정규직 비중(%),62.5,69.4,54
2022.08_비정규직 규모(천명),8156,3653,4503
2022.08_비정규직 비중(%),37.5,30.6,46
2022.08_한시적 규모(천명),5348,2368,2980
2022.08_시간제 규모(천명),3687,1125,2562
2022.08_비전형 규모(천명),2131,1209,922
2023.08_임금근로자 규모(천명),21954,11927,10027
2023.08_임금근로자 비중(%),100,100,100
2023.08_정규직 규모(천명),13832,8370,5462
2023.08_정규직 비중(%),63,70.2,54.5
2023.08_비정규직 규모(천명),8122,3557,4565
2023.08_비정규직 비중(%),37,29.8,45.5
2023.08_한시적 규모(천명),5259,2349,2910
2023.08_시간제 규모(천명),3873,1143,2731
2023.08_비전형 규모(천명),1957,1090,866
2024.08_임금근로자 규모(천명),22143,11908,10235
2024.08_임금근로자 비중(%),100,100,100
2024.08_정규직 규모(천명),13685,8293,5392
2024.08_정규직 비중(%),61.8,69.6,52.7
2024.08_비정규직 규모(천명),8459,3615,4844
2024.08_비정규직 비중(%),38.2,30.4,47.3
2024.08_한시적 규모(천명),5628,2470,3158
2024.08_시간제 규모(천명),4256,1240,3016
2024.08_비전형 규모(천명),1903,1065,838
2025.08_임금근로자 규모(천명),22413,11953,10460
2025.08_임금근로자 비중(%),100,100,100
2025.08_정규직 규모(천명),13845,8302,5543
2025.08_정규직 비중(%),61.8,69.5,53
2025.08_비정규직 규모(천명),8568,3650,4918
2025.08_비정규직 비중(%),38.2,30.5,47
2025.08_한시적 규모(천명),5848,2570,3278
2025.08_시간제 규모(천명),4229,1187,3042
2025.08_비전형 규모(천명),1834,1006,828
