성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2021.05_건설업(F),157.7,294.9,122,217.2,35.7,77.7
2021.05_도매 및 소매업(G),569.8,959,275,481.3,294.8,477.7
2021.05_숙박 및 음식점업(I),607,860.6,302.8,442,304.2,418.6
2021.05_운수 및 창고업(H)정보통신업(J),241.7,404,133.2,240.1,108.5,163.9
2021.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2021.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2021.05_전문 과학 및 기술 서비스업(M),303.5,564.2,131.9,285.9,171.6,278.2
2021.05_공공 행정 국방 및 사회보장 행정(O),120.4,242.9,46.9,118,73.5,125
2021.05_교육 서비스업(P),350.8,717,65.8,182.5,285.1,534.5
2021.05_보건업 및 사회복지 서비스업(Q),414.2,695.9,78.3,153.2,335.9,542.7
2021.05_기타(DEKLNRSTU),616,1107.6,308,551.2,308,556.4
2022.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4117,7215.7,1940.1,3582.6,2176.9,3633.1
2022.05_농림어업(A),22.3,50.3,16.5,39.8,5.8,10.5
2022.05_광ㆍ제조업(BC),608.7,1143.7,423.1,802.8,185.6,340.9
2022.05_건설업(F),164.1,305.8,133.7,242.5,30.4,63.3
2022.05_도매 및 소매업(G),552.9,938.7,251,450.8,301.8,487.9
2022.05_숙박 및 음식점업(I),621.9,824.7,344.1,455.7,277.8,369
2022.05_운수 및 창고업(H)정보통신업(J),264.1,454.3,146.2,284.7,117.9,169.6
2022.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2022.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2022.05_전문 과학 및 기술 서비스업(M),307.7,599.5,126.4,304,181.3,295.5
2022.05_공공 행정 국방 및 사회보장 행정(O),154.7,298.9,73.7,139.3,81,159.6
2022.05_교육 서비스업(P),361.6,693.3,75.8,181.3,285.8,512
2022.05_보건업 및 사회복지 서비스업(Q),494.5,833.4,100.5,178.6,394,654.7
2022.05_기타(DEKLNRSTU),564.6,1073.1,249.1,503,315.4,570.1
2023.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3947.3,7132.3,1840,3537.2,2107.3,3595.1
2023.05_농림어업(A),15.8,39.5,14.6,31.8,1.2,7.8
2023.05_광ㆍ제조업(BC),601.8,1141.9,433.8,800.5,168,341.4
2023.05_건설업(F),149.3,268.5,118,214.2,31.3,54.3
2023.05_도매 및 소매업(G),440.3,838,203.4,402,237,436
2023.05_숙박 및 음식점업(I),611.4,911.8,309.8,504.3,301.6,407.5
2023.05_운수 및 창고업(H)정보통신업(J),259.6,458.1,168.8,304.2,90.8,153.9
2023.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2023.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2023.05_전문 과학 및 기술 서비스업(M),287,601,128.6,313.3,158.4,287.7
2023.05_공공 행정 국방 및 사회보장 행정(O),158.5,328.2,72.2,166.2,86.3,161.9
2023.05_교육 서비스업(P),342.3,660.8,83.3,174.4,259,486.4
2023.05_보건업 및 사회복지 서비스업(Q),520.1,869.5,92.1,180.1,428,689.4
2023.05_기타(DEKLNRSTU),561.1,1015,215.4,446.2,345.7,568.8
2024.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3765.4,7029.7,1793.7,3527.6,1971.7,3502.1
2024.05_농림어업(A),33.8,56.6,20,38.2,13.8,18.5
2024.05_광ㆍ제조업(BC),522.8,1053.1,386.6,763.5,136.1,289.5
2024.05_건설업(F),146.3,290.5,116.2,241.3,30.1,49.2
2024.05_도매 및 소매업(G),412,789.8,201.7,393.9,210.2,395.9
2024.05_숙박 및 음식점업(I),555.3,864.8,269,456.8,286.3,408
2024.05_운수 및 창고업(H)정보통신업(J),317.5,561.5,215.1,379.6,102.4,181.9
2024.05_운수 및 창고업(H)(2024.5~),109,185,89,143,20,42
2024.05_정보통신업(J)(2024.5~),209,376,126,237,82,140
2024.05_전문 과학 및 기술 서비스업(M),271.6,572.1,126.3,297.9,145.3,274.1
2024.05_공공 행정 국방 및 사회보장 행정(O),149.9,328.5,75.5,163.2,74.4,165.3
2024.05_교육 서비스업(P),349.8,649.9,84.8,174.9,265,474.9
2024.05_보건업 및 사회복지 서비스업(Q),446.3,799.3,69.5,153.5,376.8,645.8
2024.05_기타(DEKLNRSTU),560.1,1063.7,228.8,464.6,331.3,599.1
2025.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3607,6961,1743.4,3526.1,1863.6,3434.9
2025.05_농림어업(A),33.9,54.9,18.6,34.6,15.3,20.2
2025.05_광ㆍ제조업(BC),474.2,979.5,355.3,724.1,118.9,255.5
2025.05_건설업(F),114.9,264.1,91.6,209.4,23.3,54.6
2025.05_도매 및 소매업(G),412.8,769.3,218.8,398.4,193.9,370.9
2025.05_숙박 및 음식점업(I),588.8,900.5,293.7,485.1,295.2,415.5
2025.05_운수 및 창고업(H)정보통신업(J),313.5,608.4,201.7,403.3,111.8,205.2
2025.05_운수 및 창고업(H)(2024.5~),116,208,95,166,22,42
2025.05_정보통신업(J)(2024.5~),197,401,107,237,90,164
2025.05_전문 과학 및 기술 서비스업(M),274.6,558.9,143.5,296.5,131.1,262.4
2025.05_공공 행정 국방 및 사회보장 행정(O),153.6,325.6,60.8,157.5,92.8,168.1
2025.05_교육 서비스업(P),290,608.2,81.3,168.1,208.7,440
2025.05_보건업 및 사회복지 서비스업(Q),406,764.3,63.7,143,342.3,621.2
2025.05_기타(DEKLNRSTU),544.7,1127.4,214.5,506.1,330.2,621.3
