연령구분_전체,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2009.05_2~3년 미만,228,134,94,0,0,0
2009.05_3년 이상,377,255,122,0,0,0
2009.05_첫 취업 평균소요기간,10,14,7,0,0,0
2010.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4272,1826,2446,0,0,0
2010.05_임금 근로자,4138,1746,2391,0,0,0
2010.05_3개월 미만,2176,797,1379,0,0,0
2010.05_3~6개월 미만,562,219,343,0,0,0
2010.05_6개월~1년 미만,398,183,215,0,0,0
2010.05_1~2년 미만,431,180,251,0,0,0
2010.05_2~3년 미만,225,135,90,0,0,0
2010.05_3년 이상,346,232,114,0,0,0
2010.05_첫 취업 평균소요기간,10,13,7,0,0,0
2011.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4129,1798,2331,0,0,0
2011.05_임금 근로자,3990,1714,2276,0,0,0
2011.05_3개월 미만,2083,791,1292,0,0,0
2011.05_3~6개월 미만,562,232,330,0,0,0
2011.05_6개월~1년 미만,364,171,193,0,0,0
2011.05_1~2년 미만,416,185,230,0,0,0
2011.05_2~3년 미만,198,106,92,0,0,0
2011.05_3년 이상,367,228,138,0,0,0
2011.05_첫 취업 평균소요기간,10,12,8,0,0,0
2012.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4037,1753,2283,0,0,0
2012.05_임금 근로자,3904,1682,2223,0,0,0
2012.05_3개월 미만,2041,812,1229,0,0,0
2012.05_3~6개월 미만,562,238,323,0,0,0
2012.05_6개월~1년 미만,360,153,207,0,0,0
2012.05_1~2년 미만,410,171,240,0,0,0
2012.05_2~3년 미만,204,105,99,0,0,0
2012.05_3년 이상,327,203,125,0,0,0
2012.05_첫 취업 평균소요기간,10,11,8,0,0,0
2013.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3857,1680,2178,0,0,0
2013.05_임금 근로자,3754,1626,2128,0,0,0
2013.05_3개월 미만,1918,755,1163,0,0,0
2013.05_3~6개월 미만,477,192,286,0,0,0
2013.05_6개월~1년 미만,382,179,203,0,0,0
2013.05_1~2년 미만,414,169,245,0,0,0
2013.05_2~3년 미만,215,131,84,0,0,0
2013.05_3년 이상,349,200,148,0,0,0
2013.05_첫 취업 평균소요기간,10,12,9,0,0,0
2014.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3827,1661,2166,0,0,0
2014.05_임금 근로자,3708,1603,2105,0,0,0
2014.05_3개월 미만,1888,763,1125,0,0,0
2014.05_3~6개월 미만,484,194,291,0,0,0
2014.05_6개월~1년 미만,364,158,207,0,0,0
2014.05_1~2년 미만,414,161,253,0,0,0
2014.05_2~3년 미만,214,120,94,0,0,0
2014.05_3년 이상,343,208,136,0,0,0
2014.05_첫 취업 평균소요기간,11,13,9,0,0,0
2015.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3926,1719,2207,0,0,0
2015.05_임금 근로자,3788,1651,2138,0,0,0
2015.05_3개월 미만,1950,751,1199,0,0,0
2015.05_3~6개월 미만,497,219,277,0,0,0
2015.05_6개월~1년 미만,341,142,199,0,0,0
2015.05_1~2년 미만,440,185,254,0,0,0
2015.05_2~3년 미만,236,144,93,0,0,0
2015.05_3년 이상,325,210,115,0,0,0
2015.05_첫 취업 평균소요기간,10,13,8,0,0,0
2016.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4033,1800,2233,0,0,0
2016.05_임금 근로자,3909,1733,2176,0,0,0
2016.05_3개월 미만,1998,792,1206,0,0,0
2016.05_3~6개월 미만,511,257,254,0,0,0
2016.05_6개월~1년 미만,355,160,194,0,0,0
2016.05_1~2년 미만,420,174,246,0,0,0
2016.05_2~3년 미만,283,155,128,0,0,0
2016.05_3년 이상,343,195,148,0,0,0
2016.05_첫 취업 평균소요기간,10,12,9,0,0,0
