일자리선택동기별,계,자발적 사유,자발적_계,근로조건에 만족,안정적인 일자리,직장이동 등 1),노력한 만큼 수입 등 2),비자발적 사유,비자발적_계,당장 수입이 필요,원하는 일자리 없음 등3),직장이동 등 1),노력한 만큼 수입 등 2)
2014.08_한시적,100,55,100,50.6,28.8,15.8,4.9,45,100,72.9,15.9,9.5,1.7
2014.08_기간제,100,56.9,100,51.8,27.5,16,4.7,43.1,100,72.2,15.7,10.5,1.7
2014.08_비기간제,100,48,100,45.3,34,15.2,5.5,52,100,75.1,16.7,6.5,1.7
2014.08_시간제,100,47.7,100,37.8,3.7,44.6,13.9,52.3,100,63.3,15.3,18,3.4
2014.08_비전형,100,37.3,100,45.3,16.2,12.4,26.2,62.7,100,81.4,12.2,3.7,2.7
2015.03_정규직,100,76.3,100,48.3,45.5,4,2.1,23.7,100,74,18.5,6.5,1
2015.03_비정규직,100,49,100,50.1,19.6,19.4,10.8,51,100,73.4,14.8,9.3,2.5
2015.03_한시적,100,54.4,100,54.5,26.4,14.7,4.4,45.6,100,73.4,16.1,8.9,1.6
2015.03_기간제,100,56.9,100,56,26.2,13.9,3.9,43.1,100,73,16.1,9.3,1.5
2015.03_비기간제,100,46.2,100,48.5,27.2,17.7,6.6,53.8,100,74.6,15.9,7.8,1.7
2015.03_시간제,100,47.6,100,42.3,5.2,40.4,12.1,52.4,100,63.5,15.6,18,2.8
2015.03_비전형,100,36,100,46,17.1,11.9,25.1,64,100,81.4,11.9,3.7,3
2015.08_정규직,100,76.3,100,49.4,44.5,4.2,1.9,23.7,100,75,17.9,6.3,0.8
2015.08_비정규직,100,49.2,100,48.3,19.8,21.5,10.4,50.8,100,75.6,13.4,8.7,2.3
2015.08_한시적,100,54.8,100,52.5,26.3,16.6,4.5,45.2,100,75.4,15.6,7.5,1.5
2015.08_기간제,100,57.8,100,54.1,25.5,16.2,4.1,42.2,100,75.9,14.8,7.8,1.5
2015.08_비기간제,100,44.2,100,45,30.2,18.4,6.4,55.8,100,73.8,17.8,6.8,1.6
2015.08_시간제,100,47.4,100,40.4,4.6,43.1,11.9,52.6,100,67.1,14,15.9,3
2015.08_비전형,100,36.3,100,47.3,17.2,11.9,23.6,63.7,100,82.6,10.2,4.5,2.6
2016.03_정규직,100,77.3,100,49.3,44.6,4.2,1.9,22.7,100,75.6,18.2,4.8,1.4
2016.03_비정규직,100,57.1,100,49,16.2,23.1,11.7,42.9,100,78.4,14.4,5.7,1.5
2016.03_한시적,100,59,100,56.1,22.3,15.9,5.8,41,100,76.7,16.4,6,0.9
2016.03_기간제,100,60.2,100,58.4,21.1,14.6,5.8,39.8,100,76.5,15.9,6.7,0.9
2016.03_비기간제,100,54.5,100,46.5,26.8,21,5.7,45.5,100,77.4,17.8,3.8,1
2016.03_시간제,100,67.2,100,40.1,4.4,42.5,13,32.8,100,70.5,16.5,10.9,2.1
2016.03_비전형,100,41.9,100,48.2,13.8,14.7,23.4,58.1,100,85.7,10.4,1.9,1.9
2016.08_정규직,100,76.2,100,50.3,43.1,4.7,1.9,23.8,100,77.7,16.6,4.7,1
2016.08_비정규직,100,53.1,100,50.3,16.7,21.7,11.3,46.9,100,78,13,7.3,1.7
2016.08_한시적,100,57.3,100,56.5,22.8,14.8,5.9,42.7,100,77.9,14.5,6.8,0.8
2016.08_기간제,100,59.1,100,57.8,22.1,14.5,5.5,40.9,100,77.4,14.6,7.3,0.8
2016.08_비기간제,100,49.8,100,50.1,25.8,16.2,7.8,50.2,100,79.8,14.1,5.1,1.1
2016.08_시간제,100,57.7,100,43,4.2,40.6,12.2,42.3,100,68.7,15.8,13.7,1.7
2016.08_비전형,100,37.6,100,48.7,14,12.9,24.4,62.4,100,85.2,9.5,2.9,2.4
2017.08_정규직,100,77.2,100,49.5,44.3,4,2.2,22.8,100,77.5,15.6,5.9,0.9
2017.08_비정규직,100,50,100,50.1,18.2,20.3,11.4,50,100,76.6,13.7,7.6,2
2017.08_한시적,100,53.7,100,55.9,24.8,13.5,5.8,46.3,100,76.8,16,6.2,1.1
2017.08_기간제,100,54.1,100,57.4,23.8,12.8,6,45.9,100,76.4,16.2,6.2,1.2
2017.08_비기간제,100,52.2,100,50.2,28.8,16.2,4.8,47.8,100,78.1,15.1,6.1,0.7
2017.08_시간제,100,50.2,100,44,6.1,38.4,11.6,49.8,100,67.5,16.2,14.1,2.2
2017.08_비전형,100,36.3,100,48.5,15,10,26.5,63.7,100,85.2,9.8,2.6,2.4
2018.08_정규직,100,80.3,100,48.7,44.9,4.5,1.9,19.7,100,77.6,16.3,5.1,1.1
2018.08_비정규직,100,53,100,53.8,18.7,18.4,9.1,47,100,75.8,13.4,8.2,2.7
2018.08_한시적,100,57,100,57.7,24.2,13.8,4.3,43,100,76.7,14.6,6.4,2.2
2018.08_기간제,100,57,100,59.5,22.9,13.6,4,43,100,76.6,14.5,6.5,2.4
2018.08_비기간제,100,57.1,100,51,29,14.4,5.6,42.9,100,77.3,15,6.1,1.6
2018.08_시간제,100,52.1,100,51.8,7.6,32.5,8.1,47.9,100,68.4,14.4,14,3.2
2018.08_비전형,100,40.5,100,53.1,15,9.1,22.9,59.5,100,82.5,11.8,3.1,2.6
2019.08_정규직,100,83.6,100,46.5,48.2,3.6,1.8,16.4,100,77.5,15.8,5.2,1.6
2019.08_비정규직,100,55.2,100,55.6,21,15.2,8.1,44.8,100,75.4,13.4,8.3,2.9
2019.08_한시적,100,58.6,100,57.8,25.7,11.9,4.5,41.4,100,75.5,14.4,7.6,2.5
2019.08_기간제,100,58,100,58.5,24.7,12.5,4.3,42,100,76.2,14,7.2,2.6
2019.08_비기간제,100,60.7,100,55.2,29.7,9.8,5.3,39.3,100,72.5,16.4,9.2,1.9
2019.08_시간제,100,51.3,100,56.1,8.7,26.4,8.8,48.7,100,69.4,14.4,12.4,3.8
2019.08_비전형,100,43.7,100,53.2,17.7,9.1,20,56.3,100,83,10.5,3.8,2.7
2020.08_정규직,100,86.2,100,44.9,50.1,3.2,1.8,13.8,100,78.1,14.7,5.3,1.9
2020.08_비정규직,100,56.6,100,56.6,22.3,13.4,7.8,43.4,100,76,13.8,7.7,2.5
2020.08_한시적,100,61.6,100,59.1,26.2,10.7,4,38.4,100,74.6,15.8,7.6,2
2020.08_기간제,100,63.3,100,58.9,26.7,10.4,3.9,36.7,100,74.6,16.2,7.3,1.9
2020.08_비기간제,100,51.7,100,60.3,22.6,12.7,4.4,48.3,100,74.8,13.7,9.2,2.4
2020.08_시간제,100,50.7,100,59.8,10.5,22.2,7.6,49.3,100,71.3,15.5,10.6,2.6
