한시적근로자별,비정규직,한시적,기간제,비기간제,비정규직(남자),한시적(남자),기간제(남자),비기간제(남자),비정규직(여자),한시적(여자),기간제(여자),비기간제(여자)
2022.08_증감률 (전년동월),1.1,3.4,3.4,3.9,2.2,6,7.2,-2.4,0.3,1.5,0.5,8.6
2023.08_근로자수 (천명),8122,5259,4809,451,3557,2349,2160,189,4565,2910,2649,261
2023.08_구성비 (비정규직대비),100,64.8,59.2,5.5,100,66,60.7,5.3,100,63.7,58,5.7
2023.08_증감 (전년동월),-34,-89,119,-208,-96,-19,55,-74,62,-70,64,-135
2023.08_증감률 (전년동월),-0.4,-1.7,2.5,-31.6,-2.6,-0.8,2.6,-28,1.4,-2.4,2.5,-34
2024.08_근로자수 (천명),8459,5628,4999,629,3615,2470,2213,258,4844,3158,2786,372
2024.08_구성비 (비정규직대비),100,66.5,59.1,7.4,100,68.3,61.2,7.1,100,65.2,57.5,7.7
2024.08_증감 (전년동월),337,369,190,179,58,121,53,68,279,247,137,110
2024.08_증감률 (전년동월),4.1,7,4,39.6,1.6,5.2,2.5,36.2,6.1,8.5,5.2,42.2
2025.08_근로자수 (천명),8568,5848,5337,510,3650,2570,2320,250,4918,3278,3018,260
2025.08_구성비 (비정규직대비),100,68.2,62.3,6,100,70.4,63.5,6.9,100,66.6,61.4,5.3
2025.08_증감 (전년동월),110,220,339,-119,35,100,107,-7,74,120,232,-112
2025.08_증감률 (전년동월),1.3,3.9,6.8,-18.9,1,4,4.8,-2.8,1.5,3.8,8.3,-30.1
